,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,r2_score,slope,res_sqsum,i_index,j_index
1545,55155.0,55143.0,55143.0,55149.0,55154.0,55151.0,55144.0,55148.0,55151.0,55153.0,55146.0,55157.0,55158.0,55152.0,55159.0,55146.0,55163.0,55150.0,55149.0,55153.0,55156.0,55146.0,55145.0,55153.0,55161.0,55152.0,55153.0,55156.0,55140.0,55151.0,55150.0,55149.0,55147.0,55152.0,55156.0,55151.0,55151.0,55156.0,55155.0,55151.0,55146.0,55149.0,55150.0,55155.0,55152.0,55152.0,55153.0,55141.0,55156.0,55158.0,55150.0,55153.0,55158.0,55157.0,55155.0,55145.0,0.01826476128882004,0.041114149008885846,1329.2519822285321,38.0,24.0
1546,55187.0,55182.0,55180.0,55183.0,55181.0,55184.0,55182.0,55183.0,55189.0,55170.0,55184.0,55185.0,55185.0,55180.0,55184.0,55181.0,55182.0,55181.0,55188.0,55197.0,55188.0,55183.0,55187.0,55180.0,55180.0,55183.0,55184.0,55187.0,55184.0,55180.0,55198.0,55173.0,55184.0,55182.0,55185.0,55190.0,55179.0,55183.0,55182.0,55178.0,55181.0,55186.0,55185.0,55190.0,55179.0,55190.0,55177.0,55179.0,55183.0,55181.0,55186.0,55175.0,55184.0,55190.0,55197.0,55182.0,0.004956480535317387,0.022385509227614495,1471.7937457281987,38.0,25.0
1547,54941.0,54943.0,54942.0,54935.0,54938.0,54936.0,54941.0,54942.0,54946.0,54932.0,54949.0,54942.0,54948.0,54940.0,54937.0,54936.0,54950.0,54932.0,54937.0,54947.0,54942.0,54948.0,54952.0,54941.0,54938.0,54944.0,54947.0,54949.0,54950.0,54942.0,54945.0,54933.0,54936.0,54942.0,54934.0,54944.0,54935.0,54937.0,54928.0,54941.0,54950.0,54934.0,54941.0,54955.0,54939.0,54939.0,54936.0,54941.0,54942.0,54952.0,54930.0,54940.0,54938.0,54939.0,54944.0,54947.0,0.0002034693395555065,-0.005228981544771024,1965.5821257689581,38.0,26.0
1548,55039.0,55049.0,55049.0,55050.0,55035.0,55043.0,55039.0,55041.0,55048.0,55047.0,55041.0,55044.0,55048.0,55033.0,55041.0,55045.0,55040.0,55045.0,55043.0,55043.0,55033.0,55047.0,55039.0,55048.0,55054.0,55039.0,55044.0,55040.0,55041.0,55042.0,55043.0,55041.0,55029.0,55045.0,55040.0,55046.0,55042.0,55039.0,55040.0,55041.0,55043.0,55045.0,55039.0,55039.0,55040.0,55051.0,55033.0,55041.0,55039.0,55040.0,55045.0,55043.0,55039.0,55050.0,55049.0,55051.0,0.0009297182570713325,-0.009330143540669857,1368.5657211211037,38.0,27.0
1549,54416.0,54415.0,54417.0,54411.0,54408.0,54409.0,54405.0,54400.0,54406.0,54421.0,54415.0,54410.0,54421.0,54414.0,54414.0,54417.0,54409.0,54415.0,54417.0,54419.0,54421.0,54414.0,54415.0,54415.0,54419.0,54410.0,54422.0,54413.0,54417.0,54414.0,54407.0,54413.0,54414.0,54424.0,54417.0,54415.0,54415.0,54418.0,54411.0,54413.0,54410.0,54418.0,54411.0,54420.0,54427.0,54419.0,54409.0,54421.0,54409.0,54413.0,54414.0,54423.0,54409.0,54423.0,54418.0,54428.0,0.10730918766480846,0.11100478468899524,1499.6568010936694,38.0,28.0
1550,54860.0,54857.0,54856.0,54866.0,54875.0,54871.0,54857.0,54866.0,54880.0,54872.0,54872.0,54863.0,54886.0,54871.0,54872.0,54879.0,54870.0,54867.0,54882.0,54884.0,54866.0,54880.0,54870.0,54866.0,54871.0,54870.0,54879.0,54884.0,54879.0,54879.0,54874.0,54873.0,54855.0,54870.0,54859.0,54875.0,54866.0,54874.0,54876.0,54858.0,54872.0,54890.0,54861.0,54869.0,54871.0,54872.0,54860.0,54862.0,54885.0,54865.0,54864.0,54864.0,54873.0,54870.0,54879.0,54881.0,0.010317732480210506,0.05222146274777855,3826.959945317952,38.0,29.0
1551,54967.0,54961.0,54958.0,54960.0,54974.0,54964.0,54957.0,54969.0,54969.0,54963.0,54964.0,54961.0,54969.0,54964.0,54959.0,54971.0,54956.0,54956.0,54962.0,54964.0,54955.0,54974.0,54972.0,54972.0,54963.0,54970.0,54968.0,54965.0,54971.0,54971.0,54958.0,54964.0,54960.0,54965.0,54976.0,54969.0,54966.0,54962.0,54959.0,54969.0,54965.0,54960.0,54963.0,54970.0,54961.0,54963.0,54974.0,54959.0,54967.0,54968.0,54957.0,54965.0,54967.0,54971.0,54971.0,54965.0,0.019923305497747457,0.046103896103896105,1529.7422077921142,38.0,30.0
1552,54955.0,54962.0,54949.0,54965.0,54964.0,54972.0,54949.0,54954.0,54963.0,54966.0,54961.0,54965.0,54968.0,54951.0,54963.0,54967.0,54966.0,54964.0,54962.0,54973.0,54961.0,54967.0,54968.0,54967.0,54963.0,54963.0,54959.0,54955.0,54961.0,54959.0,54963.0,54969.0,54963.0,54969.0,54957.0,54958.0,54961.0,54962.0,54957.0,54961.0,54965.0,54967.0,54959.0,54955.0,54961.0,54965.0,54967.0,54964.0,54964.0,54968.0,54968.0,54956.0,54958.0,54964.0,54962.0,54962.0,0.007872293383005102,0.02840054682159947,1487.1817156526856,38.0,31.0
1553,54833.0,54832.0,54823.0,54826.0,54835.0,54834.0,54820.0,54828.0,54825.0,54821.0,54822.0,54828.0,54831.0,54822.0,54823.0,54823.0,54825.0,54821.0,54821.0,54823.0,54824.0,54844.0,54824.0,54819.0,54827.0,54819.0,54824.0,54828.0,54820.0,54826.0,54817.0,54821.0,54828.0,54815.0,54825.0,54810.0,54830.0,54830.0,54822.0,54817.0,54823.0,54833.0,54828.0,54824.0,54820.0,54839.0,54835.0,54833.0,54826.0,54831.0,54815.0,54819.0,54830.0,54821.0,54822.0,54813.0,0.023192125690833287,-0.06035543403964456,2244.634723171443,38.0,32.0
1554,54765.0,54770.0,54770.0,54768.0,54766.0,54758.0,54765.0,54761.0,54772.0,54774.0,54758.0,54768.0,54767.0,54773.0,54770.0,54764.0,54769.0,54762.0,54766.0,54772.0,54776.0,54776.0,54766.0,54761.0,54770.0,54763.0,54759.0,54765.0,54768.0,54761.0,54775.0,54773.0,54762.0,54771.0,54770.0,54772.0,54769.0,54771.0,54776.0,54766.0,54759.0,54768.0,54764.0,54769.0,54760.0,54773.0,54768.0,54769.0,54768.0,54767.0,54759.0,54770.0,54760.0,54765.0,54760.0,54773.0,0.0011173258273504683,-0.010321257689678748,1393.2986329459645,38.0,33.0
